valorTotal;ide_dhEmi_$date;ide_natOp;infAdic_infCpl;total_icmsTot_vDesc;total_icmsTot_vFrete;total_icmsTot_vOutro;total_icmsTot_vProd;total_icmsTot_vSeg;total_icmsTot_vTotTrib;total_icmsTot_vbc;total_icmsTot_vbcst;total_icmsTot_vcofins;total_icmsTot_vicms;total_icmsTot_vicmsDeson;total_icmsTot_vii;total_icmsTot_vipi;total_icmsTot_vnf;total_icmsTot_vpis;total_icmsTot_vst;nItem;prod_indTot;prod_qCom;prod_uCom;prod_vProd;prod_vUnCom;prod_xProd
37.04;2016-01-05T12:33:30.000Z;VENDA;Mesa 15;0.0;0.0;0.0;37.04;0.0;1.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.69;0.0;0.0;1;1;0.54;KG;37.04;68.6;BUFFET
32.41;2016-01-05T12:34:09.000Z;VENDA;Mesa 14;0.0;0.0;0.0;32.41;0.0;1.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.41;0.0;0.0;1;1;1.0;UN;1.0;1.0;CHA
32.41;2016-01-05T12:34:09.000Z;VENDA;Mesa 14;0.0;0.0;0.0;32.41;0.0;1.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.41;0.0;0.0;2;1;0.458;KG;31.41;68.6;BUFFET
34.17;2016-01-05T12:35:11.000Z;VENDA;Mesa 16;0.0;0.0;0.0;34.17;0.0;2.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.17;0.0;0.0;1;1;1.0;UN;4.5;4.5;SUCO
34.17;2016-01-05T12:35:11.000Z;VENDA;Mesa 16;0.0;0.0;0.0;34.17;0.0;2.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.17;0.0;0.0;2;1;0.386;KG;26.47;68.6;BUFFET
34.17;2016-01-05T12:35:11.000Z;VENDA;Mesa 16;0.0;0.0;0.0;34.17;0.0;2.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.17;0.0;0.0;3;1;1.0;UN;3.2;3.2;DOCINHOS
36.46;2016-01-05T12:35:45.000Z;VENDA;Mesa 17;0.0;0.0;0.0;36.46;0.0;1.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.46;0.0;0.0;1;1;1.0;UN;4.5;4.5;SUCO
36.46;2016-01-05T12:35:45.000Z;VENDA;Mesa 17;0.0;0.0;0.0;36.46;0.0;1.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.46;0.0;0.0;2;1;0.466;KG;31.96;68.6;BUFFET
27.13;2016-01-05T12:38:39.000Z;VENDA;Mesa 33;0.0;0.0;0.0;27.13;0.0;3.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.13;0.0;0.0;1;1;0.33;KG;22.63;68.6;BUFFET
27.13;2016-01-05T12:38:39.000Z;VENDA;Mesa 33;0.0;0.0;0.0;27.13;0.0;3.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.13;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
26.65;2016-01-05T12:40:43.000Z;VENDA;Mesa 26;0.0;0.0;0.0;26.65;0.0;1.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.65;0.0;0.0;1;1;1.0;UN;1.0;1.0;CHA
26.65;2016-01-05T12:40:43.000Z;VENDA;Mesa 26;0.0;0.0;0.0;26.65;0.0;1.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.65;0.0;0.0;2;1;0.374;KG;25.65;68.6;BUFFET
30.59;2016-01-05T12:43:22.000Z;VENDA;Mesa 18;0.0;0.0;0.0;30.59;0.0;1.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.59;0.0;0.0;1;1;0.446;KG;30.59;68.6;BUFFET
33.99;2016-01-05T12:43:58.000Z;VENDA;Mesa 19;0.0;0.0;0.0;33.99;0.0;3.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.99;0.0;0.0;1;1;0.43;KG;29.49;68.6;BUFFET
33.99;2016-01-05T12:43:58.000Z;VENDA;Mesa 19;0.0;0.0;0.0;33.99;0.0;3.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.99;0.0;0.0;2;1;1.0;UN;4.5;4.5;CERVEJA
21.71;2016-01-05T12:45:28.000Z;VENDA;Mesa 23;0.0;0.0;0.0;21.71;0.0;1.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.71;0.0;0.0;1;1;1.0;UN;1.0;1.0;CHA
21.71;2016-01-05T12:45:28.000Z;VENDA;Mesa 23;0.0;0.0;0.0;21.71;0.0;1.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.71;0.0;0.0;2;1;0.302;KG;20.71;68.6;BUFFET
32.35;2016-01-05T12:46:02.000Z;VENDA;Mesa 24;0.0;0.0;0.0;32.35;0.0;3.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.35;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
32.35;2016-01-05T12:46:02.000Z;VENDA;Mesa 24;0.0;0.0;0.0;32.35;0.0;3.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.35;0.0;0.0;2;1;1.0;UN;1.0;1.0;CHA
32.35;2016-01-05T12:46:02.000Z;VENDA;Mesa 24;0.0;0.0;0.0;32.35;0.0;3.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.35;0.0;0.0;3;1;0.406;KG;27.85;68.6;BUFFET
23.77;2016-01-05T12:46:49.000Z;VENDA;Mesa 22;0.0;0.0;0.0;23.77;0.0;1.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.77;0.0;0.0;1;1;1.0;UN;1.0;1.0;CHA
23.77;2016-01-05T12:46:49.000Z;VENDA;Mesa 22;0.0;0.0;0.0;23.77;0.0;1.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.77;0.0;0.0;2;1;0.332;KG;22.77;68.6;BUFFET
23.46;2016-01-05T12:47:35.000Z;VENDA;Mesa 47;0.0;0.0;0.0;23.46;0.0;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.46;0.0;0.0;1;1;0.342;KG;23.46;68.6;BUFFET
62.36;2016-01-05T12:48:19.000Z;VENDA;Mesa 51;0.0;0.0;0.0;62.37;0.0;4.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.37;0.0;0.0;1;1;1.0;UN;4.5;4.5;LIMONADA
62.36;2016-01-05T12:48:19.000Z;VENDA;Mesa 51;0.0;0.0;0.0;62.37;0.0;4.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.37;0.0;0.0;2;1;0.778;KG;53.37;68.6;BUFFET
62.36;2016-01-05T12:48:19.000Z;VENDA;Mesa 51;0.0;0.0;0.0;62.37;0.0;4.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.37;0.0;0.0;3;1;1.0;UN;4.5;4.5;REFRIGERANTE
29.97;2016-01-05T12:49:12.000Z;VENDA;Mesa 40;0.0;0.0;0.0;29.97;0.0;2.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.97;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
29.97;2016-01-05T12:49:12.000Z;VENDA;Mesa 40;0.0;0.0;0.0;29.97;0.0;2.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.97;0.0;0.0;2;1;0.386;KG;26.47;68.6;BUFFET
47.3;2016-01-05T12:52:50.000Z;VENDA;Mesa 71;0.0;0.0;0.0;47.3;0.0;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.3;0.0;0.0;1;1;0.624;KG;42.8;68.6;BUFFET
47.3;2016-01-05T12:52:50.000Z;VENDA;Mesa 71;0.0;0.0;0.0;47.3;0.0;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.3;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
39.13;2016-01-05T12:55:15.000Z;VENDA;Mesa 68;0.0;0.0;0.0;39.14;0.0;2.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.14;0.0;0.0;1;1;1.0;UN;1.0;1.0;CHA
39.13;2016-01-05T12:55:15.000Z;VENDA;Mesa 68;0.0;0.0;0.0;39.14;0.0;2.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.14;0.0;0.0;2;1;0.556;KG;38.14;68.6;BUFFET
34.27;2016-01-05T12:56:10.000Z;VENDA;Mesa 21;0.0;0.0;0.0;34.27;0.0;3.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.27;0.0;0.0;1;1;0.434;KG;29.77;68.6;BUFFET
34.27;2016-01-05T12:56:10.000Z;VENDA;Mesa 21;0.0;0.0;0.0;34.27;0.0;3.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.27;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
22.22;2016-01-05T12:57:05.000Z;VENDA;Mesa 60;0.0;0.0;0.0;22.22;0.0;0.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.22;0.0;0.0;1;1;0.324;KG;22.22;68.6;BUFFET
39.17;2016-01-05T13:00:18.000Z;VENDA;Mesa 37;0.0;0.0;0.0;39.17;0.0;3.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.17;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
39.17;2016-01-05T13:00:18.000Z;VENDA;Mesa 37;0.0;0.0;0.0;39.17;0.0;3.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.17;0.0;0.0;2;1;0.52;KG;35.67;68.6;BUFFET
27.16;2016-01-05T13:06:13.000Z;VENDA;Mesa 61;0.0;0.0;0.0;27.16;0.0;1.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.16;0.0;0.0;1;1;0.396;KG;27.16;68.6;BUFFET
45.01;2016-01-05T13:06:38.000Z;VENDA;Mesa 59;0.0;0.0;0.0;45.01;0.0;5.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.01;0.0;0.0;1;1;0.544;KG;37.31;68.6;BUFFET
45.01;2016-01-05T13:06:38.000Z;VENDA;Mesa 59;0.0;0.0;0.0;45.01;0.0;5.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.01;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
45.01;2016-01-05T13:06:38.000Z;VENDA;Mesa 59;0.0;0.0;0.0;45.01;0.0;5.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.01;0.0;0.0;3;1;1.0;UN;3.2;3.2;DOCINHOS
44.83;2016-01-05T13:07:07.000Z;VENDA;Mesa 56;0.0;0.0;0.0;44.83;0.0;3.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.83;0.0;0.0;1;1;0.588;KG;40.33;68.6;BUFFET
44.83;2016-01-05T13:07:07.000Z;VENDA;Mesa 56;0.0;0.0;0.0;44.83;0.0;3.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.83;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
62.08;2016-01-05T13:08:13.000Z;VENDA;Mesa 72;0.0;0.0;0.0;62.08;0.0;4.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.08;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
62.08;2016-01-05T13:08:13.000Z;VENDA;Mesa 72;0.0;0.0;0.0;62.08;0.0;4.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.08;0.0;0.0;2;1;0.854;KG;58.58;68.6;BUFFET
22.5;2016-01-05T13:10:26.000Z;VENDA;Mesa 75;0.0;0.0;0.0;22.5;0.0;0.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.5;0.0;0.0;1;1;0.328;KG;22.5;68.6;BUFFET
14.26;2016-01-05T13:11:24.000Z;VENDA;Mesa 53;0.0;0.0;0.0;14.26;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.26;0.0;0.0;1;1;0.208;KG;14.26;68.6;BUFFET
27.98;2016-01-05T13:12:13.000Z;VENDA;Mesa 83;0.0;0.0;0.0;27.98;0.0;1.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.98;0.0;0.0;1;1;0.408;KG;27.98;68.6;BUFFET
25.38;2016-01-05T13:12:51.000Z;VENDA;Mesa 90;0.0;0.0;0.0;25.38;0.0;1.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.38;0.0;0.0;1;1;0.37;KG;25.38;68.6;BUFFET
16.46;2016-01-05T13:13:11.000Z;VENDA;Mesa 28;0.0;0.0;0.0;16.46;0.0;0.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.46;0.0;0.0;1;1;0.24;KG;16.46;68.6;BUFFET
27.13;2016-01-05T13:13:19.000Z;VENDA;Mesa 30;0.0;0.0;0.0;27.13;0.0;3.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.13;0.0;0.0;1;1;0.33;KG;22.63;68.6;BUFFET
27.13;2016-01-05T13:13:19.000Z;VENDA;Mesa 30;0.0;0.0;0.0;27.13;0.0;3.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.13;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
32.1;2016-01-05T13:13:28.000Z;VENDA;Mesa 35;0.0;0.0;0.0;32.1;0.0;1.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.1;0.0;0.0;1;1;0.468;KG;32.1;68.6;BUFFET
94.94;2016-01-05T13:14:24.000Z;VENDA;Mesa 63;0.0;0.0;0.0;94.95;0.0;7.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.95;0.0;0.0;1;1;1.0;UN;4.5;4.5;SUCO
94.94;2016-01-05T13:14:24.000Z;VENDA;Mesa 63;0.0;0.0;0.0;94.95;0.0;7.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.95;0.0;0.0;2;1;1.0;UN;3.5;3.5;AGUA
94.94;2016-01-05T13:14:24.000Z;VENDA;Mesa 63;0.0;0.0;0.0;94.95;0.0;7.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.95;0.0;0.0;3;1;1.202;KG;82.45;68.6;BUFFET
94.94;2016-01-05T13:14:24.000Z;VENDA;Mesa 63;0.0;0.0;0.0;94.95;0.0;7.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.95;0.0;0.0;4;1;1.0;UN;4.5;4.5;REFRIGERANTE
35.04;2016-01-05T13:15:06.000Z;VENDA;Mesa 36;0.0;0.0;0.0;35.05;0.0;2.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.05;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
35.04;2016-01-05T13:15:06.000Z;VENDA;Mesa 36;0.0;0.0;0.0;35.05;0.0;2.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.05;0.0;0.0;2;1;0.46;KG;31.55;68.6;BUFFET
20.58;2016-01-05T13:15:54.000Z;VENDA;Mesa 57;0.0;0.0;0.0;20.58;0.0;0.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.58;0.0;0.0;1;1;0.3;KG;20.58;68.6;BUFFET
34.54;2016-01-05T13:16:04.000Z;VENDA;Mesa 58;0.0;0.0;0.0;34.54;0.0;3.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.54;0.0;0.0;1;1;0.438;KG;30.04;68.6;BUFFET
34.54;2016-01-05T13:16:04.000Z;VENDA;Mesa 58;0.0;0.0;0.0;34.54;0.0;3.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.54;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
67.53;2016-01-05T13:16:40.000Z;VENDA;Mesa 66;0.0;0.0;0.0;67.54;0.0;6.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.54;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
67.53;2016-01-05T13:16:40.000Z;VENDA;Mesa 66;0.0;0.0;0.0;67.54;0.0;6.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.54;0.0;0.0;2;1;0.868;KG;59.54;68.6;BUFFET
67.53;2016-01-05T13:16:40.000Z;VENDA;Mesa 66;0.0;0.0;0.0;67.54;0.0;6.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.54;0.0;0.0;3;1;1.0;UN;4.5;4.5;REFRIGERANTE
72.13;2016-01-05T13:16:51.000Z;VENDA;Mesa 43;0.0;0.0;0.0;72.13;0.0;4.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.13;0.0;0.0;1;1;0.986;KG;67.63;68.6;BUFFET
72.13;2016-01-05T13:16:51.000Z;VENDA;Mesa 43;0.0;0.0;0.0;72.13;0.0;4.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.13;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
32.51;2016-01-05T13:17:02.000Z;VENDA;Mesa 41;0.0;0.0;0.0;32.51;0.0;1.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.51;0.0;0.0;1;1;0.474;KG;32.51;68.6;BUFFET
30.87;2016-01-05T13:17:13.000Z;VENDA;Mesa 29;0.0;0.0;0.0;30.87;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.87;0.0;0.0;1;1;0.45;KG;30.87;68.6;BUFFET
28.88;2016-01-05T13:17:29.000Z;VENDA;Mesa 38;0.0;0.0;0.0;28.88;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.88;0.0;0.0;1;1;1.0;UN;3.5;3.5;AGUA
28.88;2016-01-05T13:17:29.000Z;VENDA;Mesa 38;0.0;0.0;0.0;28.88;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.88;0.0;0.0;2;1;0.37;KG;25.38;68.6;BUFFET
28.09;2016-01-05T13:24:31.000Z;VENDA;Mesa 87;0.0;0.0;0.0;28.09;0.0;3.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.09;0.0;0.0;1;1;0.344;KG;23.59;68.6;BUFFET
28.09;2016-01-05T13:24:31.000Z;VENDA;Mesa 87;0.0;0.0;0.0;28.09;0.0;3.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.09;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
21.37;2016-01-05T13:25:08.000Z;VENDA;Mesa 88;0.0;0.0;0.0;21.37;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.37;0.0;0.0;1;1;1.0;UN;4.5;4.5;SUCO
21.37;2016-01-05T13:25:08.000Z;VENDA;Mesa 88;0.0;0.0;0.0;21.37;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.37;0.0;0.0;2;1;0.246;KG;16.87;68.6;BUFFET
24.39;2016-01-05T13:26:17.000Z;VENDA;Mesa 82;0.0;0.0;0.0;24.39;0.0;1.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.39;0.0;0.0;1;1;1.0;UN;4.5;4.5;LIMONADA
24.39;2016-01-05T13:26:17.000Z;VENDA;Mesa 82;0.0;0.0;0.0;24.39;0.0;1.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.39;0.0;0.0;2;1;0.29;KG;19.89;68.6;BUFFET
23.15;2016-01-05T13:27:34.000Z;VENDA;Mesa 86;0.0;0.0;0.0;23.15;0.0;2.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.15;0.0;0.0;1;1;0.272;KG;18.65;68.6;BUFFET
23.15;2016-01-05T13:27:34.000Z;VENDA;Mesa 86;0.0;0.0;0.0;23.15;0.0;2.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.15;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
34.4;2016-01-05T13:28:01.000Z;VENDA;Mesa 84;0.0;0.0;0.0;34.4;0.0;3.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.4;0.0;0.0;1;1;0.436;KG;29.9;68.6;BUFFET
34.4;2016-01-05T13:28:01.000Z;VENDA;Mesa 84;0.0;0.0;0.0;34.4;0.0;3.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.4;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
37.29;2016-01-05T13:28:38.000Z;VENDA;Mesa 85;0.0;0.0;0.0;37.29;0.0;3.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.29;0.0;0.0;1;1;0.478;KG;32.79;68.6;BUFFET
37.29;2016-01-05T13:28:38.000Z;VENDA;Mesa 85;0.0;0.0;0.0;37.29;0.0;3.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.29;0.0;0.0;2;1;1.0;UN;4.5;4.5;REFRIGERANTE
64.11;2016-01-05T13:32:21.000Z;VENDA;Mesa 92;0.0;0.0;0.0;64.12;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.12;0.0;0.0;1;1;1.0;UN;4.5;4.5;SUCO
64.11;2016-01-05T13:32:21.000Z;VENDA;Mesa 92;0.0;0.0;0.0;64.12;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.12;0.0;0.0;2;1;0.77;KG;52.82;68.6;BUFFET
64.11;2016-01-05T13:32:21.000Z;VENDA;Mesa 92;0.0;0.0;0.0;64.12;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.12;0.0;0.0;3;1;1.0;UN;6.8;6.8;HARUMAKI
20.71;2016-01-05T13:33:44.000Z;VENDA;Mesa 81;0.0;0.0;0.0;20.71;0.0;0.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.71;0.0;0.0;1;1;0.302;KG;20.71;68.6;BUFFET
31.32;2016-01-05T13:34:39.000Z;VENDA;Mesa 80;0.0;0.0;0.0;31.32;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.32;0.0;0.0;1;1;1.0;UN;3.5;3.5;CAFE EXPRESSO
31.32;2016-01-05T13:34:39.000Z;VENDA;Mesa 80;0.0;0.0;0.0;31.32;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.32;0.0;0.0;2;1;0.34;KG;23.32;68.6;BUFFET
31.32;2016-01-05T13:34:39.000Z;VENDA;Mesa 80;0.0;0.0;0.0;31.32;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.32;0.0;0.0;3;1;1.0;UN;4.5;4.5;SUCO
46.0;2016-01-05T13:35:19.000Z;VENDA;Mesa 76;0.0;0.0;0.0;46.0;0.0;5.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.0;0.0;0.0;1;1;1.0;UN;3.5;3.5;CAFE EXPRESSO
