valorTotal;ide_dhEmi_date;weekNumber
57.93;2016-01-07T12:16:22.000Z;1
64.52;2016-01-07T12:20:15.000Z;1
123.96;2016-01-07T12:26:17.000Z;1
49.94;2016-01-07T12:27:57.000Z;1
30.87;2016-01-07T12:32:26.000Z;1
86.57;2016-01-07T12:32:57.000Z;1
31.8;2016-01-07T12:34:52.000Z;1
52.79;2016-01-07T12:44:34.000Z;1
28.26;2016-01-07T12:45:10.000Z;1
44.15;2016-01-07T12:45:21.000Z;1
57.27;2016-01-07T12:46:58.000Z;1
37.15;2016-01-07T12:47:46.000Z;1
33.44;2016-01-07T12:48:31.000Z;1
33.75;2016-01-07T12:49:26.000Z;1
53.36;2016-01-07T12:51:39.000Z;1
43.4;2016-01-07T12:52:48.000Z;1
19.45;2016-01-07T12:52:59.000Z;1
94.49;2016-01-07T12:55:04.000Z;1
32.35;2016-01-07T12:55:15.000Z;1
27.27;2016-01-07T12:55:27.000Z;1
59.26;2016-01-07T12:56:40.000Z;1
20.99;2016-01-07T12:58:25.000Z;1
27.44;2016-01-07T12:59:02.000Z;1
30.29;2016-01-07T13:00:29.000Z;1
30.15;2016-01-07T13:00:44.000Z;1
35.26;2016-01-07T13:00:51.000Z;1
22.15;2016-01-07T13:03:53.000Z;1
23.53;2016-01-07T13:04:06.000Z;1
27.0;2016-01-07T13:09:38.000Z;1
37.38;2016-01-07T13:10:35.000Z;1
31.35;2016-01-07T13:11:13.000Z;1
39.03;2016-01-07T13:11:41.000Z;1
30.25;2016-01-07T13:12:27.000Z;1
30.39;2016-01-07T13:14:00.000Z;1
43.15;2016-01-07T13:14:42.000Z;1
48.12;2016-01-07T13:15:49.000Z;1
32.9;2016-01-07T13:16:28.000Z;1
26.72;2016-01-07T13:17:00.000Z;1
58.82;2016-01-07T13:20:38.000Z;1
30.87;2016-01-07T13:20:59.000Z;1
31.14;2016-01-07T13:21:07.000Z;1
35.26;2016-01-07T13:21:15.000Z;1
20.0;2016-01-07T13:21:23.000Z;1
26.58;2016-01-07T13:21:31.000Z;1
25.93;2016-01-07T13:21:48.000Z;1
41.4;2016-01-07T13:21:56.000Z;1
35.91;2016-01-07T13:26:24.000Z;1
68.04;2016-01-07T13:27:55.000Z;1
63.87;2016-01-07T13:28:38.000Z;1
38.89;2016-01-07T13:29:23.000Z;1
18.11;2016-01-07T13:31:53.000Z;1
56.9;2016-01-07T13:32:39.000Z;1
77.35;2016-01-07T13:34:10.000Z;1
40.03;2016-01-07T13:34:37.000Z;1
30.94;2016-01-07T13:35:44.000Z;1
35.85;2016-01-07T13:36:24.000Z;1
13.14;2016-01-07T13:39:39.000Z;1
28.09;2016-01-07T13:42:08.000Z;1
41.81;2016-01-07T13:42:28.000Z;1
36.78;2016-01-07T13:42:46.000Z;1
31.11;2016-01-07T13:42:55.000Z;1
50.2;2016-01-07T13:49:33.000Z;1
34.82;2016-01-07T13:50:07.000Z;1
51.52;2016-01-07T13:52:14.000Z;1
22.98;2016-01-07T13:53:18.000Z;1
43.69;2016-01-07T13:54:06.000Z;1
29.32;2016-01-07T14:00:20.000Z;1
59.85;2016-01-07T14:06:41.000Z;1
33.85;2016-01-07T14:06:50.000Z;1
21.12;2016-01-07T14:07:10.000Z;1
38.93;2016-01-07T14:07:19.000Z;1
104.03;2016-01-07T14:07:35.000Z;1
33.13;2016-01-07T14:14:01.000Z;1
29.63;2016-01-07T14:14:38.000Z;1
33.44;2016-01-08T12:03:20.000Z;1
38.11;2016-01-08T12:04:23.000Z;1
29.6;2016-01-08T12:13:35.000Z;1
29.6;2016-01-08T12:14:39.000Z;1
19.07;2016-01-08T12:18:10.000Z;1
36.62;2016-01-08T12:18:20.000Z;1
31.94;2016-01-08T12:22:35.000Z;1
24.39;2016-01-08T12:24:51.000Z;1
36.83;2016-01-08T12:25:29.000Z;1
58.64;2016-01-08T12:30:12.000Z;1
41.13;2016-01-08T12:34:45.000Z;1
170.37;2016-01-08T12:37:54.000Z;1
41.12;2016-01-08T12:44:29.000Z;1
39.34;2016-01-08T12:47:34.000Z;1
52.92;2016-01-08T12:49:33.000Z;1
41.29;2016-01-08T12:49:42.000Z;1
26.04;2016-01-08T12:49:58.000Z;1
124.03;2016-01-08T12:50:38.000Z;1
43.36;2016-01-08T12:51:39.000Z;1
36.08;2016-01-08T12:55:16.000Z;1
57.04;2016-01-08T12:55:48.000Z;1
29.47;2016-01-08T12:56:09.000Z;1
31.11;2016-01-08T12:56:17.000Z;1
40.27;2016-01-08T12:56:28.000Z;1
38.24;2016-01-08T12:56:38.000Z;1
41.98;2016-01-08T12:56:56.000Z;1
45.24;2016-01-08T12:57:18.000Z;1
39.92;2016-01-08T12:57:28.000Z;1
41.13;2016-01-08T12:57:53.000Z;1
27.95;2016-01-08T12:58:16.000Z;1
57.04;2016-01-08T12:58:37.000Z;1
45.89;2016-01-08T13:04:52.000Z;1
26.86;2016-01-08T13:05:58.000Z;1
33.86;2016-01-08T13:06:39.000Z;1
37.97;2016-01-08T13:07:27.000Z;1
24.53;2016-01-08T13:08:10.000Z;1
69.25;2016-01-08T13:09:58.000Z;1
70.73;2016-01-08T13:10:37.000Z;1
56.73;2016-01-08T13:11:42.000Z;1
37.55;2016-01-08T13:11:51.000Z;1
52.86;2016-01-08T13:16:27.000Z;1
52.62;2016-01-08T13:17:34.000Z;1
32.76;2016-01-08T13:21:59.000Z;1
30.73;2016-01-08T13:22:31.000Z;1
33.17;2016-01-08T13:25:25.000Z;1
26.58;2016-01-08T13:25:57.000Z;1
31.83;2016-01-08T13:26:47.000Z;1
60.02;2016-01-08T13:40:25.000Z;1
24.93;2016-01-08T13:41:27.000Z;1
24.76;2016-01-08T13:42:30.000Z;1
77.57;2016-01-08T13:43:42.000Z;1
58.74;2016-01-08T13:45:14.000Z;1
43.15;2016-01-08T13:47:23.000Z;1
93.6;2016-01-08T13:57:03.000Z;1
38.8;2016-01-08T13:57:14.000Z;1
43.41;2016-01-08T13:59:11.000Z;1
27.0;2016-01-08T14:04:15.000Z;1
21.92;2016-01-08T14:05:01.000Z;1
34.54;2016-01-08T14:05:09.000Z;1
44.14;2016-01-08T14:05:18.000Z;1
35.53;2016-01-08T14:05:29.000Z;1
28.67;2016-01-08T14:05:41.000Z;1
27.27;2016-01-08T14:05:52.000Z;1
27.13;2016-01-08T14:06:03.000Z;1
32.58;2016-01-08T14:06:11.000Z;1
20.78;2016-01-08T14:06:19.000Z;1
19.31;2016-01-08T14:06:37.000Z;1
31.39;2016-01-08T14:06:46.000Z;1
38.41;2016-01-08T14:06:54.000Z;1
18.79;2016-01-08T14:07:01.000Z;1
52.1;2016-01-08T14:07:10.000Z;1
58.66;2016-01-08T14:07:24.000Z;1
40.88;2016-01-09T11:45:13.000Z;1
19.68;2016-01-09T11:53:23.000Z;1
32.31;2016-01-09T12:15:12.000Z;1
88.76;2016-01-09T12:34:08.000Z;1
48.15;2016-01-09T12:35:58.000Z;1
49.87;2016-01-09T12:37:06.000Z;1
90.17;2016-01-09T12:43:43.000Z;1
55.77;2016-01-09T12:44:37.000Z;1
92.49;2016-01-09T12:45:37.000Z;1
36.08;2016-01-09T12:46:39.000Z;1
45.34;2016-01-09T12:48:05.000Z;1
67.85;2016-01-09T12:48:12.000Z;1
78.16;2016-01-09T12:51:20.000Z;1
23.04;2016-01-09T12:52:38.000Z;1
25.38;2016-01-09T12:52:47.000Z;1
67.9;2016-01-09T12:55:05.000Z;1
33.17;2016-01-09T12:56:01.000Z;1
36.74;2016-01-09T12:56:48.000Z;1
57.07;2016-01-09T12:59:16.000Z;1
30.45;2016-01-09T12:59:24.000Z;1
49.44;2016-01-09T13:05:11.000Z;1
13.58;2016-01-09T13:05:28.000Z;1
34.13;2016-01-09T13:09:17.000Z;1
42.61;2016-01-09T13:09:47.000Z;1
30.25;2016-01-09T13:11:30.000Z;1
27.51;2016-01-09T13:12:19.000Z;1
31.94;2016-01-09T13:13:08.000Z;1
30.45;2016-01-09T13:13:48.000Z;1
68.24;2016-01-09T13:14:37.000Z;1
47.81;2016-01-09T13:15:28.000Z;1
41.67;2016-01-09T13:17:53.000Z;1
69.52;2016-01-09T13:21:05.000Z;1
58.82;2016-01-09T13:21:57.000Z;1
98.12;2016-01-09T13:27:05.000Z;1
27.0;2016-01-09T13:29:57.000Z;1
21.37;2016-01-09T13:31:08.000Z;1
32.79;2016-01-09T13:31:15.000Z;1
27.29;2016-01-09T13:31:23.000Z;1
118.84;2016-01-09T13:32:08.000Z;1
190.95;2016-01-09T13:33:52.000Z;1
27.02;2016-01-09T13:34:09.000Z;1
93.43;2016-01-09T13:36:18.000Z;1
37.03;2016-01-09T13:37:01.000Z;1
104.44;2016-01-09T13:41:20.000Z;1
33.6;2016-01-09T13:46:38.000Z;1
58.32;2016-01-09T13:47:26.000Z;1
100.91;2016-01-09T13:48:14.000Z;1
91.35;2016-01-09T13:49:12.000Z;1
56.66;2016-01-09T13:52:19.000Z;1
94.5;2016-01-09T13:58:39.000Z;1
73.37;2016-01-09T13:59:36.000Z;1
49.45;2016-01-09T14:00:32.000Z;1
46.75;2016-01-09T14:01:03.000Z;1
73.48;2016-01-09T14:05:14.000Z;1
85.99;2016-01-09T14:14:58.000Z;1
30.79;2016-01-09T14:19:11.000Z;1
32.62;2016-01-09T14:20:08.000Z;1
19.86;2016-01-09T14:21:09.000Z;1
82.38;2016-01-09T14:24:16.000Z;1
57.19;2016-01-11T11:57:51.000Z;2
38.11;2016-01-11T12:01:50.000Z;2
38.41;2016-01-11T12:10:06.000Z;2
53.16;2016-01-11T12:22:08.000Z;2
18.42;2016-01-11T12:22:52.000Z;2
21.3;2016-01-11T12:23:40.000Z;2
21.65;2016-01-11T12:25:45.000Z;2
23.8;2016-01-11T12:26:18.000Z;2
50.86;2016-01-11T12:41:56.000Z;2
45.54;2016-01-11T12:52:22.000Z;2
31.76;2016-01-11T12:53:11.000Z;2
48.54;2016-01-11T12:53:50.000Z;2
47.99;2016-01-11T12:54:05.000Z;2
37.83;2016-01-11T12:54:22.000Z;2
48.61;2016-01-11T13:04:32.000Z;2
27.0;2016-01-11T13:05:01.000Z;2
28.26;2016-01-11T13:05:21.000Z;2
30.59;2016-01-11T13:05:32.000Z;2
34.56;2016-01-11T13:05:42.000Z;2
48.15;2016-01-11T13:05:50.000Z;2
35.81;2016-01-11T13:05:59.000Z;2
35.33;2016-01-11T13:06:07.000Z;2
34.4;2016-01-11T13:06:16.000Z;2
30.94;2016-01-11T13:08:09.000Z;2
31.45;2016-01-11T13:11:37.000Z;2
23.73;2016-01-11T13:11:46.000Z;2
27.71;2016-01-11T13:12:03.000Z;2
40.99;2016-01-11T13:14:52.000Z;2
37.56;2016-01-11T13:15:37.000Z;2
56.89;2016-01-11T13:27:50.000Z;2
31.32;2016-01-11T13:28:02.000Z;2
55.76;2016-01-11T13:28:36.000Z;2
9.74;2016-01-11T13:35:18.000Z;2
12.07;2016-01-11T13:35:49.000Z;2
26.75;2016-01-11T13:36:36.000Z;2
25.93;2016-01-11T13:37:21.000Z;2
62.59;2016-01-11T13:38:13.000Z;2
80.33;2016-01-11T13:40:13.000Z;2
74.67;2016-01-11T13:40:57.000Z;2
35.32;2016-01-11T13:41:49.000Z;2
43.18;2016-01-11T13:43:18.000Z;2
23.76;2016-01-11T13:43:54.000Z;2
45.03;2016-01-11T13:44:29.000Z;2
21.54;2016-01-11T13:45:03.000Z;2
25.49;2016-01-11T13:45:44.000Z;2
23.94;2016-01-11T13:46:16.000Z;2
42.56;2016-01-11T13:48:02.000Z;2
63.62;2016-01-11T13:48:48.000Z;2
43.73;2016-01-11T13:49:32.000Z;2
44.69;2016-01-11T13:50:38.000Z;2
22.06;2016-01-11T13:51:09.000Z;2
43.45;2016-01-11T14:02:04.000Z;2
136.08;2016-01-11T14:03:48.000Z;2
108.17;2016-01-11T14:08:08.000Z;2
33.61;2016-01-11T14:36:04.000Z;2
39.47;2016-01-11T14:40:05.000Z;2
23.01;2016-01-11T14:40:40.000Z;2
51.41;2016-01-11T14:45:13.000Z;2
28.92;2016-01-11T14:46:09.000Z;2
57.59;2016-01-11T14:53:40.000Z;2
53.33;2016-01-11T15:02:31.000Z;2
21.4;2016-01-11T19:03:20.000Z;2
52.4;2016-01-11T19:20:37.000Z;2
24.69;2016-01-11T19:33:18.000Z;2
30.52;2016-01-11T19:35:31.000Z;2
37.12;2016-01-11T19:48:53.000Z;2
36.08;2016-01-11T19:49:57.000Z;2
31.14;2016-01-11T19:57:09.000Z;2
32.17;2016-01-11T19:57:55.000Z;2
55.32;2016-01-11T20:00:30.000Z;2
15.77;2016-01-11T20:01:00.000Z;2
19.34;2016-01-11T20:03:18.000Z;2
45.65;2016-01-11T20:03:32.000Z;2
44.97;2016-01-11T20:03:49.000Z;2
20.58;2016-01-11T20:05:43.000Z;2
94.72;2016-01-11T20:07:37.000Z;2
75.25;2016-01-11T20:08:37.000Z;2
28.05;2016-01-11T20:11:33.000Z;2
26.58;2016-01-11T20:11:56.000Z;2
56.3;2016-01-11T20:21:31.000Z;2
44.85;2016-01-11T20:35:08.000Z;2
83.4;2016-01-11T20:37:06.000Z;2
24.82;2016-01-11T20:41:28.000Z;2
107.74;2016-01-11T20:44:27.000Z;2
137.94;2016-01-11T20:46:12.000Z;2
47.32;2016-01-11T20:48:38.000Z;2
37.86;2016-01-11T20:49:41.000Z;2
36.05;2016-01-11T20:52:41.000Z;2
104.91;2016-01-11T21:05:16.000Z;2
72.16;2016-01-11T21:07:16.000Z;2
34.16;2016-01-11T21:08:31.000Z;2
90.6;2016-01-11T21:13:22.000Z;2
132.28;2016-01-11T21:15:10.000Z;2
60.21;2016-01-11T21:15:22.000Z;2
74.39;2016-01-11T21:15:37.000Z;2
30.39;2016-01-11T21:26:08.000Z;2
55.73;2016-01-11T21:26:30.000Z;2
89.55;2016-01-11T21:30:03.000Z;2
17.28;2016-01-11T21:33:10.000Z;2
68.4;2016-01-11T21:34:38.000Z;2
35.3;2016-01-11T21:35:38.000Z;2
125.0;2016-01-11T21:39:55.000Z;2
82.16;2016-01-11T21:42:28.000Z;2
264.98;2016-01-11T21:43:34.000Z;2
39.04;2016-01-11T21:44:31.000Z;2
127.95;2016-01-11T21:45:33.000Z;2
64.27;2016-01-11T21:53:12.000Z;2
120.39;2016-01-11T21:54:17.000Z;2
48.56;2016-01-11T21:54:33.000Z;2
100.31;2016-01-11T21:54:52.000Z;2
102.98;2016-01-11T21:54:59.000Z;2
26.04;2016-01-11T21:58:05.000Z;2
35.64;2016-01-11T21:58:48.000Z;2
27.51;2016-01-11T21:59:37.000Z;2
50.46;2016-01-11T22:01:34.000Z;2
52.96;2016-01-11T22:02:18.000Z;2
52.88;2016-01-11T22:23:43.000Z;2
27.21;2016-01-11T22:25:44.000Z;2
32.61;2016-01-11T22:26:14.000Z;2
73.96;2016-01-12T12:04:12.000Z;2
26.58;2016-01-12T12:15:39.000Z;2
47.53;2016-01-12T12:22:46.000Z;2
53.61;2016-01-12T12:27:03.000Z;2
62.62;2016-01-12T12:27:49.000Z;2
41.4;2016-01-12T12:28:03.000Z;2
44.69;2016-01-12T12:33:40.000Z;2
28.12;2016-01-12T12:39:14.000Z;2
100.53;2016-01-12T12:51:18.000Z;2
95.65;2016-01-12T12:53:03.000Z;2
30.87;2016-01-12T12:53:40.000Z;2
31.52;2016-01-12T12:54:53.000Z;2
120.78;2016-01-12T12:58:51.000Z;2
37.7;2016-01-12T13:00:15.000Z;2
27.51;2016-01-12T13:00:23.000Z;2
28.47;2016-01-12T13:01:01.000Z;2
29.84;2016-01-12T13:02:36.000Z;2
19.61;2016-01-12T13:03:01.000Z;2
29.77;2016-01-12T13:07:19.000Z;2
74.19;2016-01-12T13:10:46.000Z;2
21.26;2016-01-12T13:13:35.000Z;2
72.35;2016-01-12T13:18:29.000Z;2
26.31;2016-01-12T13:20:13.000Z;2
43.73;2016-01-12T13:20:26.000Z;2
34.23;2016-01-12T13:20:33.000Z;2
28.92;2016-01-12T13:20:42.000Z;2
84.67;2016-01-12T13:21:01.000Z;2
28.78;2016-01-12T13:21:09.000Z;2
63.07;2016-01-12T13:22:12.000Z;2
30.28;2016-01-12T13:28:19.000Z;2
65.56;2016-01-12T13:29:01.000Z;2
87.27;2016-01-12T13:30:15.000Z;2
31.48;2016-01-12T13:30:22.000Z;2
99.63;2016-01-12T13:30:29.000Z;2
